place,water_tap_id,lat,lon
Endla 74,306,59.4280149,24.713673945371976
Endla Turismitalu,1772,59.263653,24.550892560994512
Endla tn,841,59.4281924,24.7266542
Ensto Lighting köögi kraan,300,,
Ensto Lightning OÜ,300,,
Erala küla VPJ peale veetöötluse seadmeid,367,58.473386950000005,26.694672436976603
Eralasteaed Adelion,1259,,
Eralasteaed Naba,336,59.46940105,24.841344320644286
Eralasteaed Punamütsikese Mudilasmaja,336,,
Eramaja,1173,,
Eramaja,1377,,
Eramaja,1774,,
Eramu,1353,-37.6710592,144.5884258
Eramu,1904,-37.6710592,144.5884258
Eramu köök (A.Sirogorov),1076,,
Eramu köök (Sillandi),1076,,
Eramu köök(A.Sirogorov),1076,,
Eramu sootalu teel,2208,,
Erastvere Hooldekodu köök,497,57.9795535,26.79021602411642
Ereda küla veevärk,662,59.315123799999995,27.25066286841948
Ermistu puhkeküla,1659,58.354677249999995,24.00279713782971
Erna tee 9-10,1265,59.4625153,24.4032336
Erra lasteaed Linnupesa,702,59.3621348,26.9791525
Erra-Liiva küla,692,59.363532500000005,27.006784754379836
Erumäe 2,1821,,
Ervita küla elamu,452,58.93299155,26.074001114797674
Essu küla tarbija kraan,1127,59.4367958,26.36924773480439
Essu küla veevõtukoht,1127,59.4367958,26.36924773480439
Essu puurkaevu pumpla,1127,,
Estonia Medical Spa Hotel,172,58.37874395,24.49765963178993
Estonia kaevanduse puurkaev nr 5968 (nr 4),635,59.170576,27.3073768
Estonia kaevanduse söökla,635,59.170576,27.3073768
Estonia pst 21,747,59.4329202,24.7460856
Estonia tapamaja mahutist väljuv vesi,970,59.386691,28.1899705
Etsaste küla elamu,187,58.1875945,26.4896371
Etsaste maja nr 5,187,,
Ettevalmistusruum I korrus,965,,
EuroHotel,2420,45.88037045,12.71477776764899
Europagar,306,,
EuropeHostel (saab vee Maardu Katlamaja AS-lt),781,,
Exmet OÜ Leiva 3,1762,,
Exmet veetöötluse eesruum,1762,,
FLEXA Eesti AS Viru-Nigula tehase söögiruum,1242,59.45123465,26.678711176311836
Fama keskuse hoone veetorustik,421,,
Fileerimistsehh- proovivõtukoht nr. 28,389,,
Fileerimistsehh- proovivõtukoht nr. 6,389,,
Filtreerimistsehhi kraan,1409,,
Forseliuse Kool,276,58.35970315,26.729031211624072
Forum Cinemas (Coca-Cola Plaza),306,59.4383184,24.756502
Fr.Tuglase nim. Ahja Kool,392,,
"Fra Mare puurkaev, väljund",841,43.9605027,12.7560343
FraMare SPA,841,,
Fredi kinnistu (Hoffmann Servis OÜ),372,,
"Gagarini 23, Sillamäe linn",630,59.393821849999995,27.78929400000004
"Gagarini 27, Sillamäe linn",630,40.183302499999996,44.46545953232601
"Gagarini 35, Sillamäe linn",630,59.3938597,27.79439503159341
"Gagarini 5, Sillamäe linn",630,59.39382535,27.77853605
"Gagarini 9, Sillamäe linn",630,59.394079,27.782490757005394
Garaaz-katlamaja,508,57.7559915,26.302091435267855
Gaseerimata allikavesi KASARI,1067,,
Gazeela OÜ söökla,402,,
"Geoloogia 16, Sillamäe linn",630,59.39275365,27.796559875933585
Geoloogia 18 hoone veetorustik,630,59.39290075,27.795076169046858
Gotthard Residents hotell,306,59.4418399,24.749214887201013
Green Motell,1593,,
Greete Motelli köök,253,,
Grossi pood,979,59.20472049999999,25.104258644407935
HP Trepp,989,,
Haabersti Rimi hüpermarket,306,59.4135441,24.6550733
Haabersti Tervisekeskus (Lääne-Tallinna Keskhaigla üksus),306,59.419798,24.6500685
Haabersti Vene Gümnaasium,306,59.41707185,24.64821445471221
Haage joogid  villimistsehhi kraan enne villimist ja karboniseerimist,2411,,
"Haage joogid , veevärk (Ei kasutata)",1435,,
Haage joogid mineraalvee villimistsehhi kraan enne villimist ja karboniseerimist,1435,,
"Haage, Side põik 1",385,58.3553986,26.621609
Haanja vallamaja,783,,
Haapsalu Kutsehariduskeskus,841,58.939283,23.5855912
Haapsalu Neuroloogiline Rehabilitatsioonikeskus SA,841,58.9523803,23.5321984
Haapsalu Põhikool,841,58.93834635,23.543629194525092
Haapsalu R-kiosk,841,,
Haapsalu Tarbijate Ühistu,841,,
"Haapsalu Turvakodu, Samaaria Misjon",841,,
"Haapsalu mnt 15b, Pärnu",172,58.9568763,23.7422972
Haapsalu mnt 16,1106,58.9568763,23.7422972
Haaslava Laane PK,2108,58.326724999999996,26.795597303571434
Haaslava lasteaia köök,2108,,
Haava 21 Haapsalu,841,59.3846642,24.699932782991674
Haaviku Turismitalu pererahva maja,1671,,
Haaviku Turismitalu suveköögi kraan,1671,,
Haaviku tn 14,337,59.1091498,24.3196657
Habaja lasteaed,1305,,
Haeska Mõisa majutus,1932,58.4062245,22.6529935
Hagudi kool,365,59.0702063,24.7976715
Hagudi pumbamaja väljavool,365,59.061937549999996,24.846690098390035
Haiba Lasteaed Riisikas,1296,59.126447,24.466954
Haiba Lastekodu,1296,59.12911,24.468317101383196
Haiba veevärk,1296,,
"Haiba veevärk, trass",1296,,
"Haldja tee 12, Urge",1070,59.5907259,24.5161908
Halinga Turvakodu,1413,58.596322150000006,24.491109899999998
Haljala Elamute puurkaevu pumpla,1128,,
Haljala Kool,1123,59.430658300000005,26.263153947245865
Haljala Maheda puurkaev,1128,59.4335357,26.2665245
Haljala alevik Tallinna mnt,1128,59.4350024,26.25251793116596
Haljala alevik Võsu mnt,1128,59.4350024,26.25251793116596
Haljala lasteaed Pesapuu duširuum,1123,,
Haljala lasteaed Pesapuu köök,1123,,
Haljala lasteaia köök,1128,59.5571085,25.992469478571415
Halliste Põhikooli köögist,474,,
Halliste peale filtreid,471,,
Halliste sööklast,471,,
"Hanseni 9 katlamaja, Iisaku",599,59.0978969,27.309889849999998
Hargla Kooli köök,266,59.1002565,24.89567586538461
Hargla Kooli lasteaed Koikkülas,265,59.1002565,24.89567586538461
"Hargla, Kirikumõisa tee 1",267,57.617221,26.397852786688052
"Hariduse 14, Sindi",172,59.38113,28.194969999999998
Hariduse 3,172,59.4310792,24.741484461191703
Harju-Risti Põhikool,1117,59.2278822,24.0141748
Harju-Risti trass,1117,,
Harku Lasteaed,306,59.41661655,24.58234103489072
Harku järve rand,306,59.386335,24.38034429270315
Harkujärve Põhikool,306,59.4145032,24.603607546015965
Harkujärve põhikool,2302,59.4145032,24.603607546015965
Hausma hostell kontrollkraan saunas,1034,,
Hawaii Express,306,56.9721296,24.1691577
Heimtali kooli köögist,495,,
Heimtali peale veepuhastusseadet,495,,
Heina 1 kaev/liitumispunkt,692,59.43808205,24.724076833795575
Heina 16,306,59.43928975,24.721972
Heiniku 1,172,58.4023945,24.425028627629732
Heinola tsehhi kraan,1056,,
Hellamaa Perekeskus,1275,,
Hellamaa Perekeskuse Sotsiaalmaja,1275,58.932819949999995,22.92256105681252
Hellenurme 12-korteriga elamu pesula Mustamäel,210,,
Hellenurme Mõis MTÜ Hooldekeskuse köök,205,58.1353985,26.384446
Hellenurme kortermaja,210,,
Helme 7a-3,306,59.4389205,24.7005567
Helme Päevakeskuse maja,246,,
Helme Teenus OÜ kontor,244,,
"Helme pumbamaja, peale veetöötlust",246,58.1460725,25.737447907094595
Helmiku mü,832,,
Heltermaa sadama 4 kai praam Hiiumaa,1026,58.865948,23.0457367
Heltermaa sadama baari kontrollkraan köögis,1026,58.865948,23.0457367
Heltermaa sadama kontrollkraan pumplas,1026,58.865948,23.0457367
Heltona OÜ,1237,,
Hertu 2,744,58.944269,24.89911843740219
Hertu VTJ peale filtreid,744,,
Hesburger Laagri,341,59.36032845,24.631179967519348
Hesburger Merimetsa,306,59.4301528,24.6971302
Hestia Hotel Seaport,306,56.9465585,24.1100294
Hestia Hotel Susi,306,56.9465585,24.1100294
Hiie VTJ,1418,,
Hiie puurkaev (vormistatud tellimislehel valesti),1418,,
Hiina Suursaatkond,306,59.4413358,24.789340901476685
Hiiu paak,341,,
Hiiumaa Haigla SA,1034,58.998736199999996,22.755082443766007
